"Story","Title","Result","Date","Stability","Duration (s)"
"Invalidate sessions","Invalidate sessions rol regular","FAILURE","2021-03-15T21:22:29.72-05:00[America/Bogota]","0.0","1.19"
"Consult list users","Consult users administrator","ERROR","2021-03-15T21:23:54.364-05:00[America/Bogota]","0.0","4.14"
"Register client","Register new client alternate cases","FAILURE","2021-03-15T21:44:17.402-05:00[America/Bogota]","0.0","3.29"
